bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1013160001,675,3 AVENUE,Office,2017,1963,289356,305.6,178.1565790929,,131.8077876388,0.0240610183,0,0.0240610183
1013160001,675,   3 AVENUE         ,Office,2016,1963,289356,116.3,174.1551880728,,128.339451748,0.0222072464,0,0.0222072464
1021380040,180,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),2017,1969,3693539,229.8,,252.6231457147,89.9857627062,0.0151265223,0.0138123355,0.0013142138
1021380040,180,FT WASHINGTON AVENUE,Office,2017,1929,3693539,430.8,48.4793537309,0.3928159416,34.7147356235,0.0064613369,2.08742888595464E-05,0.0064404627
1021380040,180,FT WASHINGTON AVENUE,Hospital (General Medical & Surgical),2016,1969,3693539,236.8,,237.6983662552,87.7796797868,0.0150650907,0.0146475508,0.0004175399
1014800001,1176,YORK AVENUE,Hospital (General Medical & Surgical),2017,1932,2230742,359.9,,642.0513339956,38.7025261101,0.0243998634,0.0347705382,
1014800001,1176,YORK AVENUE         ,Hospital (General Medical & Surgical),2016,1932,2230742,327.8,,563.1337764744,37.7660716031,0.0224562948,0.0329275192,
4084890001,269,GRAND CENTRAL PKWY,Multifamily Housing,2017,1974,3750565,143974.4,,105126.892121054,,5.5840653342,5.5840653342,0
4084890001,269,GRAND CENTRAL PKWY,Other,2017,1974,3750565,1138.3,,,0.0606996812,5.62581904326415E-06,0,5.62581904326415E-06
4084890001,269,GRAND CENTRAL PKWY,Other,2017,1974,3750565,,,,,0,0,0
4084890001,269,GRAND CENTRAL PKWY,Other,2017,1974,3750565,,,,,0,0,0
4084890001,269,GRAND CENTRAL PKWY,Other,2017,1974,3750565,,,,,0,0,0
4084890001,269,GRAND CENTRAL PKWY  ,Multifamily Housing,2016,1974,3750565,40263.4,,29373.6132392586,21.7258090981,1.5626116865,1.5605512769,0.0020604096
3002380035,10,CLINTON STREET,Multifamily Housing,2017,1903,212656,295.4,,223.4731265518,16.3506531676,0.0133868783,0.0118698744,0.0015174742
5033550032,475,SEAVIEW AVENUE      ,Hospital (General Medical & Surgical),2016,1950,567517,299,,155.2164893739,112.1926613652,0.019895263,0.010590696,0.0093045671
1019890001,0,,College/University,2017,1907,,120,,,,,,
1019890001,3009,BROADWAY            ,College/University,2016,1907,751510,113.2,,63.8275240516,19.3969843382,0.0057936687,0.0041850408,0.001608628
1021800614,720,FT WASHINGTON AVENUE,Multifamily Housing,2017,1939,179130,75.7,,3.0895963825,16.1159615921,0.0067236086,0.0052280467,0.0014955619
1021800614,720,FT WASHINGTON AVENUE,Multifamily Housing,2016,1939,179130,,,4.7733740859,21.582441802,0.01054988,0.0087601183,0.0017897616
1021800628,730,FT WASHINGTON AVENUE,Multifamily Housing,2017,1939,102150,77.1,,3.1988311307,10.5902046011,0.0067449829,0.0057621145,0.0009828683
1013900037,830,PARK AVENUE         ,Multifamily Housing,2016,1911,151666,79.6,,72.1258937402,24.9378918149,0.0060864004,0.004018699,0.0020683607
1019950053,558,RIVERSIDE DRIVE,College/University,2017,1964,256528,0,,0,0,0,0,0
1019950063,564,RIVERSIDE DRIVE,College/University,2017,1964,339104,0,,0,0,0,0,0
1005460031,4,WASHINGTON PLACE,College/University,2017,1971,54725,26.9,,0.0018273184,97.891506624,0.0090835998,0,0.0090835998
1005460031,4,WASHINGTON PLACE    ,College/University,2016,1971,54725,21.1,,0.0054819552,99.9465070809,0.0082887163,0,0.0082887163
2026380090,0,,Multifamily Housing,2016,1962,,177,,,,,,
1016940003,455,EAST 102 STREET,Multifamily Housing,2017,1973,175885,56.2,,21.7548381044,34.4332956193,0.0043511385,0.0011553003,0.0031952696
1016940003,455,EAST  102 STREET    ,Multifamily Housing,2016,1973,175885,113.2,,25.2856684766,35.7594121159,0.004308497,0.0013429229,0.0029655741
