bbl,parent_property_id,gross_floor_area,first_area_type,year_built,metered_area_energy,metered_area_water,eui_kbtu_sf,steam_kbtu,natural_gas_kbtu,electricity_kbtu,total_ghg_mmco2e,direct_ghg_mmco2e,indirect_ghg_mmco2e,water_kgal,wui_gal_sf,year,occupancy,street_number,street_name
1003360005,,98052.0,Multifamily Housing,1982.0,Whole Building,,73.7,,5463399.1,1762214.1,436.3,290.2,146.1,,,2016,100.0,15,BIALYSTOKER PLACE   
1010617501,,58851.0,Multifamily Housing,1950.0,Whole Building,Whole Building,51.3,,1437732.8,1507302.8,201.4,76.4,125.0,768.5,13.39,2016,95.0,432,WEST   52 STREET    
1014270028,,166432.0,Multifamily Housing,1964.0,Whole Building,Whole Building,44.9,,2739020.0,4737201.3,538.4,145.5,392.9,11901.5,71.51,2016,95.0,1393,   2 AVENUE         
1015180024,,114939.0,Multifamily Housing,1960.0,Whole Building,Whole Building,91.3,,5733933.4,4759700.8,699.3,304.6,394.7,7455.1,64.86,2016,95.0,1341,LEXINGTON AVENUE    
1003920010,,93420.0,,2018.0,,,,,,,0.0,0.0,0.0,,,2016,0.0,350,EAST   10 STREET    
1000047501,,2542563.0,Office,1970.0,Whole Building,Whole Building,133.8,108665968.8,38618831.6,177603017.4,23995.9,2051.2,21944.6,150226.3,26.43,2016,100.0,1,WATER STREET        
1000050010,,1016406.0,Office,1969.0,Whole Building,Whole Building,61.3,17866419.3,,49345608.4,5278.7,0.0,5278.7,,,2016,95.0,115,BROAD STREET        
1000057501,,1354691.0,Office,1970.0,Whole Building,Whole Building,135.8,42302319.9,,65135076.6,11875.0,0.0,11875.0,24983.4,18.67,2016,100.0,125,BROAD STREET        
1000087501,,169061.0,Multifamily Housing,1985.0,Whole Building,Whole Building,137.2,,2137974.0,7547536.0,1742.2,1116.3,625.9,,,2016,100.0,39,WHITEHALL STREET    
1000090001,,845018.0,Office,1969.0,Whole Building,Whole Building,71.4,18088814.3,,42770098.6,4748.2,0.0,4748.2,12833.6,15.05,2016,100.0,34,WHITEHALL STREET    
